ID,SNM,STYP,FND,RGN,USC,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
146,동아방송예술대학교,전문대학,사립,경기,B그룹,60.29370176984128,61.79962596031751,60.46918349206352,62.871175333333376,62.93056504761907,62.964622,62.970387
147,동아보건대학교,전문대학,사립,전남,C그룹,62.2246905661376,61.91797544444449,61.4996715714286,62.18498697089946,62.88759570105817,62.886013,62.87385
148,동양대학교,대학,사립,경북,C그룹,66.9197966467349,65.9857125673698,65.14324056526807,64.10972179470531,65.50575893244918,65.48928,65.50889
149,동양미래대학교,전문대학,사립,서울,A그룹,65.3478792626263,65.09562592929296,64.98322164357869,64.59633849206355,59.31280835497832,59.349316,59.252342
150,동우대학,전문대학,사립,강원,B그룹,60.026567730158746,60.026567730158746,60.026567730158746,60.02656773015876,60.026567730158746,60.026615,60.026615
151,동원과학기술대학교,전문대학,사립,경남,B그룹,63.897166841269815,63.31768879365077,62.56041958730157,62.2814200952381,62.61894171428565,62.61613,62.619976
152,동원대학교,전문대학,사립,경기,B그룹,63.73270753968259,64.24722695238096,63.92831111111112,64.29802226984128,64.34261614285712,64.35611,64.359276
153,동의과학대학교,전문대학,사립,부산,B그룹,64.85525426262625,64.58864082539684,63.722983746031765,63.6379091746032,63.61755723809523,63.63607,63.636753
154,동의대학교,대학,사립,부산,A그룹,67.15051437742649,66.96280732003943,67.12683346394387,67.39788317806499,64.86471059947567,64.84996,64.83127
155,두원공과대학교,전문대학,사립,경기,B그룹,64.25621553968249,64.40655056421355,63.38462955555558,62.78581623809525,64.25521574603181,64.24863,64.25649
156,디지털서울문화예술대학교,대학,사립,서울,C그룹,60.05086573015875,60.053145730158754,60.053145730158754,60.04498373015877,60.026567730158746,60.02973,60.046062
157,루터대학교,대학,사립,경기,C그룹,66.5759071476044,66.5041959571282,66.6076257335257,66.7399094491917,66.88744364261663,66.88971,66.8879
158,마산대학교,전문대학,사립,경남,A그룹,64.45489531746036,64.8083776825397,64.43385052380958,64.52634198412701,64.16289246031747,64.162796,64.16394
159,명신대학교,대학,사립,전남,C그룹,60.026567730158746,60.026567730158746,60.026567730158746,60.02656773015876,60.026567730158746,60.026615,60.026615
160,명지대학교,대학,사립,서울,A그룹,67.22785066256377,66.02557770075312,65.74714258478436,65.9208096664201,66.29353605107462,66.30107,66.30287
161,명지전문대학,전문대학,사립,서울,A그룹,64.06741350793654,64.20072985714295,63.48215290476198,63.305960619047696,64.33213625396827,64.333046,64.33632
162,목원대학교,대학,사립,대전,B그룹,66.84385342978712,66.51763998550726,66.5272968026365,66.47208725229598,66.35180555205183,66.34587,66.34311
163,목포가톨릭대학교,대학,사립,전남,C그룹,66.3678612601585,66.72581441888862,66.38643426304449,66.46542183447308,66.55904379984102,66.555084,66.55402
