연도,번호,학교명,학교유형,설립,지역,대학규모,시설-도서관건물연면적 (제곱미터),열람석-총열람석수,설비-정보화기기(PC)수,재학생 1인당 도서관건물 연면적-연면적,재학생수(전년도),재학생 1인당 도서관건물 연면적
2019,313,인천대학교,대학,국립,인천,A그룹,14219.0,1845,184,14219.0,13500,1.100000023841858
2019,314,인천전문대학,전문대학,공립,인천,A그룹,0.0,0,0,0.0,0,0.0
2019,315,인하공업전문대학,전문대학,사립,인천,A그룹,2496.0,520,101,2496.0,6583,0.4000000059604645
2019,316,인하대학교,대학,사립,인천,A그룹,26128.099609375,3823,316,26128.099609375,20289,1.2999999523162842
2019,317,장로회신학대학교,대학,사립,서울,C그룹,5084.0,484,31,5084.0,2177,2.299999952316284
2019,318,장안대학교,전문대학,사립,경기,B그룹,5573.0,1197,18,5573.0,5629,1.0
2019,319,재능대학교,전문대학,사립,인천,B그룹,1525.0,235,87,1525.0,3965,0.4000000059604645
2019,320,전남과학대학교,전문대학,사립,전남,B그룹,2286.0,828,62,2286.0,4210,0.5
2019,321,전남대학교,대학,국립,광주,A그룹,30178.0,4900,151,30178.0,24116,1.2999999523162842
2019,322,전남도립대학교,전문대학,공립,전남,C그룹,2709.0,465,40,2709.0,1387,2.0
2019,323,전북과학대학교,전문대학,사립,전북,C그룹,953.0,240,25,953.0,1606,0.6000000238418579
2019,324,전북대학교,대학,국립,전북,A그룹,45010.0,4875,338,45010.0,21943,2.0999999046325684
2019,325,전주교육대학교,대학,국립,전북,C그룹,4731.0,777,55,4731.0,1400,3.4000000953674316
2019,326,전주기전대학,전문대학,사립,전북,C그룹,702.0,187,3,702.0,1693,0.4000000059604645
2019,327,전주대학교,대학,사립,전북,A그룹,10997.0,1450,141,10997.0,12245,0.8999999761581421
2019,328,전주비전대학교,전문대학,사립,전북,B그룹,2063.10009765625,391,28,2063.10009765625,3623,0.6000000238418579
2019,329,제네바신학대학원대학교,대학원대학,사립,경기,-,330.0,60,2,330.0,11,30.0
2019,330,제주관광대학교,전문대학,사립,제주,C그룹,1274.0,287,8,1274.0,2242,0.6000000238418579
2019,331,제주국제대학교,대학,사립,제주,C그룹,2031.0,465,15,2031.0,1587,1.2999999523162842
2019,332,제주대학교,대학,국립,제주,A그룹,21486.0,3150,162,21486.0,12189,1.7999999523162842
2019,333,제주한라대학교,전문대학,사립,제주,A그룹,1881.0,890,42,1881.0,5505,0.30000001192092896
2019,334,조선간호대학교,전문대학,사립,광주,C그룹,688.7000122070312,270,15,688.7000122070312,791,0.8999999761581421
2019,335,조선대학교,대학,사립,광주,A그룹,23729.900390625,5475,203,23729.900390625,21414,1.100000023841858
2019,336,조선이공대학교,전문대학,사립,광주,B그룹,1870.0,478,24,1870.0,3378,0.6000000238418579
2019,337,주안대학원대학교,대학원대학,사립,인천,-,385.0,80,4,385.0,74,5.199999809265137
2019,338,중부대학교,대학,사립,충남,B그룹,8847.2001953125,1525,99,8847.2001953125,9523,0.8999999761581421
2019,339,중앙대학교,대학,사립,서울,A그룹,33174.0,5513,343,33174.0,29014,1.100000023841858
2019,340,중앙승가대학교,대학,사립,경기,C그룹,4487.0,349,57,4487.0,227,19.799999237060547
2019,341,중원대학교,대학,사립,충북,C그룹,3470.0,586,17,3470.0,4142,0.800000011920929
2019,342,진주교육대학교,대학,국립,경남,C그룹,7350.2001953125,1013,36,7350.2001953125,1754,4.199999809265137
2019,343,진주보건대학교,전문대학,사립,경남,B그룹,3319.0,941,93,3319.0,2789,1.2000000476837158
2019,344,차의과학대학교,대학,사립,경기,C그룹,2479.0,569,30,2479.0,3395,0.699999988079071
2019,345,창신대학교,대학,사립,경남,C그룹,3919.0,805,62,3919.0,1987,2.0
2019,346,창원문성대학교,전문대학,사립,경남,C그룹,3279.60009765625,702,54,3279.60009765625,3156,1.0
2019,347,청강문화산업대학교,전문대학,사립,경기,B그룹,2883.0,484,23,2883.0,3631,0.800000011920929
2019,348,청암대학교,전문대학,사립,전남,B그룹,2002.0,420,8,2002.0,2757,0.699999988079071
2019,349,청운대학교,대학,사립,충남,B그룹,12346.0,1164,92,12346.0,6835,1.7999999523162842
2019,350,청주교육대학교,대학,국립,충북,C그룹,5097.0,1038,95,5097.0,1626,3.0999999046325684
2019,351,청주대학교,대학,사립,충북,A그룹,17567.5,2870,185,17567.5,11378,1.5
