연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료-종수-국내서,국외서,계,책수-국내서,국외서,계,전자자료-전자저널-패키지,웹DB-패키지,[구독] e-Book-종수,동영상강의자료(e-Learning)-패키지,합계-패키지,종수,연속간행물-국내,국외,합계,연간 장서 증가 및 폐기 책수-연간 장서 증가 책수-구입,기증,합계,연간 장서 증가 종수,연간 장서 폐기 책수,재학생 1인당 소장도서수-소장도서수,재학생수(전년도),재학생 1인당 소장도서수,연간장서증가율-연간장서증가책수,소장도서수,연간장서증가율
2020,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,1289,2708,3997,2148,4565,6713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6713,124,54.099998474121094,0,6713,0.0
2020,89,국제사이버대학교,대학,사립,경기,C그룹,1200,0,1200,9798,0,9798,0,0,1200,0,0,1200,0,0,0,408,0,408,341,0,9798,3046,3.200000047683716,408,9798,4.300000190734863
2020,90,국제언어대학원대학교,대학원대학,사립,서울,-,2911,12323,15234,3828,13432,17260,0,0,130,0,0,130,0,2,2,157,3,160,22,0,17260,55,313.79998779296875,160,17260,0.8999999761581421
2020,91,국제예술대학교,기타,기타,서울,-,1041,26,1067,1052,26,1078,0,0,0,0,0,0,0,0,0,11,0,11,11,0,1078,0,0.0,11,1078,1.0
2020,92,군산간호대학교,전문대학,사립,전북,C그룹,23672,3703,27375,33525,4825,38350,1,5,6910,0,6,6910,25,0,25,1201,340,1541,1113,386,38350,1134,33.79999923706055,1541,38350,4.199999809265137
2020,93,군장대학교,전문대학,사립,전북,C그룹,55938,247,56185,88805,325,89130,5,5,15533,12,22,15533,13,0,13,3122,91,3213,3197,0,89130,1951,45.70000076293945,3213,89130,3.700000047683716
2020,94,극동대학교,대학,사립,충북,C그룹,167221,38113,205334,269083,44778,313861,3,7,111607,3,13,111607,115,0,115,8907,219,9126,8921,0,313861,3770,83.30000305175781,9126,313861,3.0
2020,95,글로벌사이버대학교,대학,사립,충남,C그룹,895,0,895,1855,0,1855,0,1,895,0,1,895,0,0,0,134,0,134,109,0,1855,2325,0.800000011920929,134,1855,7.800000190734863
2020,96,금강대학교,대학,사립,충남,C그룹,65034,14804,79838,102680,24822,127502,0,3,0,0,3,0,79,12,91,992,1229,2221,1558,0,127502,407,313.29998779296875,2221,127502,1.7999999523162842
2020,97,기독간호대학교,전문대학,사립,광주,C그룹,20869,4264,25133,29893,5419,35312,3,1,380,0,4,380,55,0,55,813,98,911,737,0,35312,619,57.0,911,35312,2.5999999046325684
2020,98,김천대학교,대학,사립,경북,C그룹,110115,144248,254363,157512,145274,302786,6,10,179210,0,16,179210,111,0,111,10015,190,10205,8765,4,302786,3348,90.4000015258789,10205,302786,3.5
2020,99,김포대학교,전문대학,사립,경기,C그룹,70508,4966,75474,115563,5804,121367,1,8,8811,2,11,8811,89,7,96,3696,2166,5862,4875,0,121367,3580,33.900001525878906,5862,121367,5.099999904632568
2020,100,김해대학교,전문대학,사립,경남,C그룹,27470,326,27796,36030,331,36361,1,1,831,0,2,831,9,0,9,643,10104,10747,5692,0,36361,1434,25.399999618530273,10747,36361,42.0
2020,101,나사렛대학교,대학,사립,충남,B그룹,188720,109425,298145,277832,116050,393882,8,10,121389,2,20,121389,138,3,141,11645,1466,13111,11296,0,393882,5446,72.30000305175781,13111,393882,3.4000000953674316
2020,102,나주대학교,전문대학,사립,전남,C그룹,23661,224,23885,28328,333,28661,0,0,2239,1,1,2239,108,1,109,667,299,966,966,0,28661,2002,14.300000190734863,966,28661,3.5
2020,103,남부대학교,대학,사립,광주,C그룹,87588,8977,96565,98874,9144,108018,5,4,14371,2,11,14371,114,7,121,7375,3768,11143,8187,0,108018,3421,31.600000381469727,11143,108018,11.5
2020,104,남서울대학교,대학,사립,충남,B그룹,310661,122400,433061,629934,239189,869123,7,12,136866,0,19,136866,661,30,691,17800,562,18362,13164,0,869123,10224,85.0,18362,869123,2.200000047683716
2020,105,농협대학교,전문대학,사립,경기,C그룹,33715,4493,38208,40068,4884,44952,2,0,1180,0,2,1180,30,0,30,1121,44,1165,958,1210,44952,406,110.69999694824219,1165,44952,2.700000047683716
2020,106,능인대학원대학교,대학원대학,사립,경기,-,3768,53,3821,4948,55,5003,0,1,0,0,1,0,21,0,21,97,277,374,292,0,5003,72,69.5,374,5003,8.100000381469727
2020,107,단국대학교,대학,사립,경기,A그룹,958503,291398,1249901,1513972,477813,1991785,19,21,34281,4,44,34281,1065,142,1207,39016,8758,47774,38878,47033,1991785,26997,73.80000305175781,47774,1991785,2.5
2020,108,대경대학교,전문대학,사립,경북,B그룹,51013,4433,55446,143952,4831,148783,0,3,24909,2,5,24909,65,1,66,4913,913,5826,2492,0,148783,4275,34.79999923706055,5826,148783,4.099999904632568
2020,109,대구가톨릭대학교,대학,사립,경북,A그룹,525605,261500,787105,1021785,365241,1387026,33,28,54174,0,61,54174,600,68,668,25941,5666,31607,22728,5038,1387026,13891,99.9000015258789,31607,1387026,2.299999952316284
2020,110,대구경북과학기술원,대학,국립,대구,C그룹,56131,90491,146622,62677,92198,154875,38,37,248437,0,75,248437,5,1,6,13358,30,13388,13234,0,154875,1463,105.9000015258789,13388,154875,9.5
2020,111,대구공업대학교,전문대학,사립,대구,C그룹,67064,2243,69307,104790,3299,108089,3,4,17271,2,9,17271,67,0,67,3188,381,3569,3522,3221,108089,1672,64.5999984741211,3569,108089,3.4000000953674316
2020,112,대구과학대학교,전문대학,사립,대구,A그룹,80765,3118,83883,150430,3775,154205,2,3,11925,3,8,11925,23,0,23,5118,345,5463,4580,0,154205,4100,37.599998474121094,5463,154205,3.700000047683716
2020,113,대구교육대학교,대학,국립,대구,C그룹,144399,12803,157202,302131,23209,325340,6,7,12379,0,13,12379,508,58,566,5910,314,6224,3847,0,325340,2451,132.6999969482422,6224,325340,2.0
2020,114,대구대학교,대학,사립,경북,A그룹,540068,228185,768253,1161496,421136,1582632,10,17,31147,2,29,31147,779,12,791,31253,3400,34653,27135,34750,1582632,18566,85.19999694824219,34653,1582632,2.200000047683716
2020,115,대구미래대학교,전문대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2020,116,대구보건대학교,전문대학,사립,대구,A그룹,92945,17560,110505,218783,21194,239977,2,5,22816,0,7,22816,110,14,124,7684,34,7718,4830,0,239977,7004,34.29999923706055,7718,239977,3.299999952316284
2020,117,대구사이버대학교,대학,사립,경북,C그룹,16380,0,16380,17090,0,17090,6,0,16380,0,6,16380,0,0,0,423,0,423,445,0,17090,4016,4.300000190734863,423,17090,2.5
2020,118,대구예술대학교,대학,사립,경북,C그룹,48953,1155,50108,118174,1931,120105,0,0,14012,0,0,14012,89,4,93,3968,442,4410,1983,0,120105,1102,109.0,4410,120105,3.799999952316284
2020,119,대구외국어대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
