연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료_종수_국내서,도서자료_종수_국외서,도서자료_종수_계,도서자료_책수_국내서,도서자료_책수_국외서,도서자료_책수_계,전자자료_전자저널_패키지,전자자료_웹DB_패키지,전자자료_[구독] e-Book_종수,전자자료_동영상강의자료(e-Learning)_패키지,전자자료_합계_패키지,전자자료_합계_종수,연속간행물_국내,연속간행물_국외,연속간행물_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_구입,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_기증,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 종수,연간 장서 증가 및 폐기 책수_연간 장서 폐기 책수,재학생 1인당 소장도서수_소장도서수,재학생 1인당 소장도서수_재학생수(전년도),재학생 1인당 소장도서수_재학생 1인당 소장도서수,연간장서증가율_연간장서증가책수,연간장서증가율_소장도서수,연간장서증가율_연간장서증가율
2018,134,동강대학교,전문대학,사립,광주,B그룹,106434,8590,115024,152627,10012,162639,1,0,13166,1,2,13166,146,1,147,3514,480,3994,3587,0,162639,3341,48.70000076293945,3994,162639,2.5
2018,135,동국대학교,대학,사립,서울,A그룹,769477,180265,949742,1141221,249550,1390771,26,35,59652,0,61,59652,870,403,1273,37495,9340,46835,38123,9344,1390771,17255,80.5999984741211,46835,1390771,3.5
2018,136,동국대학교 WISE캠퍼스,대학,사립,경북,B그룹,465907,42299,508206,731384,68771,800155,9,14,21098,0,23,21098,1025,99,1124,10140,3277,13417,12591,6080,800155,8392,95.30000305175781,13417,800155,1.7000000476837158
2018,137,동남보건대학교,전문대학,사립,경기,A그룹,71335,6626,77961,131750,7706,139456,0,4,14935,4,8,14935,45,0,45,5684,1000,6684,4313,0,139456,4826,28.899999618530273,6684,139456,5
2018,138,동덕여자대학교,대학,사립,서울,B그룹,183283,76544,259827,403695,100214,503909,9,27,62165,2,38,62165,299,242,541,17997,670,18667,11664,95565,503909,7110,70.9000015258789,18667,503909,3.799999952316284
2018,139,동명대학교,대학,사립,부산,B그룹,335305,40816,376121,444409,46885,491294,3,6,27171,0,9,27171,54,3,57,27191,10867,38058,28737,0,491294,8419,58.400001525878906,38058,491294,8.399999618530273
2018,140,동방문화대학원대학교,대학원대학,사립,서울,-,18836,2103,20939,20275,3870,24145,3,0,946,0,3,946,14,0,14,516,596,1112,828,0,24145,238,101.4000015258789,1112,24145,4.800000190734863
2018,141,동부산대학교,전문대학,사립,부산,C그룹,112591,13004,125595,133390,13647,147037,0,1,3784,0,1,3784,120,0,120,2412,738,3150,2958,0,147037,1854,79.30000305175781,3150,147037,2.200000047683716
2018,142,동서대학교,대학,사립,부산,B그룹,276229,107413,383642,581407,135165,716572,10,11,94914,0,21,94914,301,72,373,36975,5109,42084,16380,0,716572,11119,64.4000015258789,42084,716572,6.199999809265137
2018,143,동서울대학교,전문대학,사립,경기,A그룹,97133,9084,106217,208164,10425,218589,2,1,13285,3,6,13285,94,0,94,7205,90,7295,4669,77,218589,5540,39.5,7295,218589,3.5
