연도,번호,학교명,학교유형,설립,지역,대학규모,결산-대학총결산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,예산-대학총예산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,재학생 1인당 자료구입비(결산)-자료구입비,재학생수(전년도),재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율-자료구입비,대학총결산,대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)-자료구입비(결산)-2020년(A),2021년(B),2022년(C),최근 3년간 자료구입비 증가율(결산)
2022,61,광주과학기술원,대학,국립,광주,C그룹,252719511000,61531026,0,0,1517612410,245900839,0,7900000,1832944275,261132860000,145000000,0,5000000,1511000000,218000000,0,0,1879000000,1832944275,2003,915099.5,1832944275,252719511000,0.7,1572747000,2096048000,1832944275,10.4
2022,62,광주교육대학교,대학,국립,광주,C그룹,29712039879,74673000,11783000,39706000,0,32338000,0,0,158500000,29023339000,90000000,13000000,40000000,0,40000000,0,0,183000000,158500000,1842,86047.8,158500000,29712039879,0.5,151180000,129082130,158500000,4.1
2022,63,광주대학교,대학,사립,광주,B그룹,79023257798,260000540,16090000,0,87247000,51626561,0,65701000,480665101,77807382803,242500000,20000000,10000000,95200000,52000000,0,56000000,475700000,480665101,7146,67263.5,480665101,79023257798,0.6,562956700,566141450,480665101,-7.3
2022,64,광주보건대학교,전문대학,사립,광주,B그룹,31005818266,31975700,9679500,0,12172000,9172800,0,17000000,80000000,36789408000,30900000,9800000,0,13000000,9300000,0,17000000,80000000,80000000,3673,21780.6,80000000,31005818266,0.3,119829260,80793130,80000000,-16.8
2022,65,광주여자대학교,대학,사립,광주,C그룹,44443822409,114444949,1212100,2881680,63128000,24415271,0,9000000,215082000,43377714000,111600000,1500000,2500000,67942000,22000000,0,9000000,214542000,215082000,3983,54000.0,215082000,44443822409,0.5,212199341,213359725,215082000,0.7
2022,66,구미대학교,전문대학,사립,경북,A그룹,62713545072,60740170,3967000,0,7652000,2689713,0,0,75048883,60758169000,61000000,4000000,0,7700000,2700000,0,0,75400000,75048883,5163,14535.9,75048883,62713545072,0.1,71592013,81737529,75048883,3.0
2022,67,구세군사관대학원대학교,대학원대학,사립,경기,-,1343667706,5470620,605000,0,0,0,0,0,6075620,1453653144,6000000,605000,0,0,0,0,0,6605000,6075620,30,202520.7,6075620,1343667706,0.5,6604670,6433300,6075620,-4.1
2022,68,국군간호사관학교,기타,기타,대전,-,0,32502000,9047000,555000,33989000,35753000,0,0,111846000,0,31943000,9047000,2000000,37237000,25264000,0,6000000,111491000,111846000,0,0.0,111846000,0,0.0,111020060,108725220,111846000,0.4
2022,69,국립강릉원주대학교,대학,국립,강원,B그룹,105010570760,173354320,18474790,21645670,372407570,149399920,0,17905180,753187450,105706685890,218800000,16589600,31200000,412110000,143360000,0,880400,822940000,753187450,8202,91829.7,753187450,105010570760,0.7,724826870,834829070,753187450,2.7
2022,70,국립경국대학교,대학,국립,경북,B그룹,113136266415,199405250,7041800,127000,251635560,93416080,0,79870530,631496220,83379860000,192607520,6749680,117800,242373180,89336380,0,77515440,608700000,631496220,6788,93031.3,631496220,113136266415,0.6,620906060,612453800,631496220,0.9
