YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR
2019,102,나주대학교,전문대학,사립,전남,C그룹,23379,220,23599,28249,375,28624,0,0,451,1,1,451,109,0,109,330,439,769,758,0,28624,2217,12.899999618530272,769,28624,2.799999952316284
2019,103,남부대학교,대학,사립,광주,C그룹,79672,8706,88378,88080,8795,96875,3,10,13826,2,15,13826,168,8,176,4892,1154,6046,4581,0,96875,3530,27.399999618530277,6046,96875,6.699999809265137
2019,104,남서울대학교,대학,사립,충남,B그룹,307380,121865,429245,618685,227152,845837,6,11,119822,0,17,119822,875,32,907,18650,1137,19787,15234,0,845837,10264,82.4000015258789,19787,845837,2.400000095367432
2019,105,농협대학교,전문대학,사립,경기,C그룹,31148,4489,35637,37063,4880,41943,2,0,1077,0,2,1077,30,0,30,633,634,1267,1081,891,41943,438,95.8000030517578,1267,41943,3.0999999046325684
2019,106,능인대학원대학교,대학원대학,사립,경기,-,3547,29,3576,4602,30,4632,0,1,0,0,1,0,21,0,21,144,1146,1290,985,0,4632,72,64.30000305175781,1290,4632,38.59999847412109
2019,107,단국대학교,대학,사립,경기,A그룹,961787,275853,1237640,1517699,477511,1995210,18,16,31199,4,38,31199,934,124,1058,25544,5811,31355,26952,998,1995210,26823,74.4000015258789,31355,1995210,1.600000023841858
2019,108,대경대학교,전문대학,사립,경북,B그룹,48588,4366,52954,138212,4745,142957,0,4,28185,2,6,28185,72,0,72,7116,48157,55273,5752,0,142957,4396,32.5,55273,142957,63.0
2019,109,대구가톨릭대학교,대학,사립,경북,A그룹,508563,257096,765659,997128,363330,1360458,33,22,50980,2,57,50980,602,78,680,18921,4293,23214,21571,2,1360458,14518,93.6999969482422,23214,1360458,1.7000000476837158
2019,110,대구경북과학기술원,대학,국립,대구,C그룹,53714,80136,133850,59428,81786,141214,58,34,293842,0,92,293842,13,27,40,15309,80,15389,13712,0,141214,1351,104.5,15389,141214,12.199999809265137
2019,111,대구공업대학교,전문대학,사립,대구,C그룹,63634,2192,65826,104446,3295,107741,0,0,9726,2,2,9726,34,0,34,2287,295,2582,2557,0,107741,1715,62.79999923706055,2582,107741,2.5
2019,112,대구과학대학교,전문대학,사립,대구,A그룹,91315,3109,94424,149682,3602,153284,1,3,10134,3,7,10134,44,0,44,4973,794,5767,3096,0,153284,4064,37.70000076293945,5767,153284,3.900000095367432
2019,113,대구교육대학교,대학,국립,대구,C그룹,140669,12680,153349,296037,23079,319116,6,4,5967,0,10,5967,507,58,565,6218,698,6916,3627,171,319116,2550,125.0999984741211,6916,319116,2.200000047683716
2019,114,대구대학교,대학,사립,경북,A그룹,529953,212860,742813,1171675,406334,1578009,11,16,30766,3,30,30766,496,8,504,18702,5273,23975,14641,10423,1578009,18944,83.30000305175781,23975,1578009,1.5
2019,115,대구미래대학교,전문대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2019,116,대구보건대학교,전문대학,사립,대구,A그룹,88175,17532,105707,211108,21152,232260,2,5,19416,0,7,19416,114,10,124,7280,125,7405,4346,0,232260,6778,34.29999923706055,7405,232260,3.299999952316284
2019,117,대구사이버대학교,대학,사립,경북,C그룹,15953,0,15953,16566,0,16566,5,0,15953,0,5,15953,0,0,0,478,0,478,441,0,16566,4164,4.0,478,16566,3.0
2019,118,대구예술대학교,대학,사립,경북,C그룹,46970,1155,48125,114206,1931,116137,0,0,12493,0,0,12493,89,4,93,4027,0,4027,2039,0,116137,1198,96.9000015258789,4027,116137,3.5999999046325684
