ID,SNM,STYP,FND,RGN,USC,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
324,전북대학교,대학,국립,전북,A그룹,72.59773295727041,72.24955709066703,70.98495441176497,70.97686,71.00041
325,전주교육대학교,대학,국립,전북,C그룹,65.89212789951966,65.69767423022974,65.62728462976949,65.60855,65.62378
326,전주기전대학,전문대학,사립,전북,C그룹,68.60693525769497,69.64840068770079,69.74318419902659,69.83477,69.784134
327,전주대학교,대학,사립,전북,A그룹,67.09180899672907,67.00541056835146,67.40557267336034,67.40624,67.4044
328,전주비전대학교,전문대학,사립,전북,B그룹,68.58696951250481,68.59689777544399,68.70487268607977,68.71032,68.71431
329,제네바신학대학원대학교,대학원대학,사립,경기,-,71.04667878449091,71.0466787844909,71.04486448389143,71.04313,71.044044
330,제주관광대학교,전문대학,사립,제주,C그룹,67.98794204805267,68.6898414201237,68.15774864398081,68.15624,68.15322
331,제주국제대학교,대학,사립,제주,C그룹,69.1118991486491,69.10470916259928,69.06504786991,69.07067,69.06832
332,제주대학교,대학,국립,제주,A그룹,68.1990754678609,68.09558946641894,68.27752629946724,68.27535,68.27589
333,제주한라대학교,전문대학,사립,제주,A그룹,68.47780403069122,68.48017932760332,68.45811918121937,68.46891,68.46891
334,조선간호대학교,전문대학,사립,광주,C그룹,68.29979580531736,68.27273724456006,68.1872428371701,68.18769,68.18809
335,조선대학교,대학,사립,광주,A그룹,68.82374120472458,68.55435959525751,68.28764260543923,68.28694,68.2934
336,조선이공대학교,전문대학,사립,광주,B그룹,68.23768417842432,68.26573435624057,68.49674640370048,68.50657,68.50481
337,주안대학원대학교,대학원대학,사립,인천,-,71.08403324588629,71.08403324588627,71.04399438449192,71.04525,71.04484
338,중부대학교,대학,사립,충남,B그룹,67.46035388115149,67.44480849750629,68.20168532108501,68.20592,68.20705
339,중앙대학교,대학,사립,서울,A그룹,72.3354572111486,73.78371989688083,73.34280081589509,73.24942,73.02545
340,중앙승가대학교,대학,사립,경기,C그룹,71.05334675644357,71.05334675644356,71.05334675644356,71.053635,71.053635
341,중원대학교,대학,사립,충북,C그룹,69.23265523939293,69.1079333552273,69.1971330570134,69.197105,69.19333
342,진주교육대학교,대학,국립,경남,C그룹,66.3429833901609,65.66349313449474,66.75610839455213,66.761215,66.761856
343,진주보건대학교,전문대학,사립,경남,B그룹,67.15714174338022,67.18295648986702,67.43507781741127,67.432884,67.434784
344,차의과학대학교,대학,사립,경기,C그룹,67.87414804122656,68.59982151503546,67.79792696138742,67.8052,67.80507
