YR,ID,SNM,STYP,FND,RGN,USC,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS
2015,141,동부산대학교,전문대학,사립,부산,C그룹,2292,508,6,47,53,2292,2635,0.8999999761581421
2015,142,동서대학교,대학,사립,부산,B그룹,14345,3335,22,138,160,14345,11659,1.2000000476837158
2015,143,동서울대학교,전문대학,사립,경기,A그룹,4501,1132,12,58,70,4501,6009,0.699999988079071
2015,144,동신대학교,대학,사립,전남,B그룹,12927,1442,18,56,74,12927,7783,1.7000000476837158
2015,145,동아대학교,대학,사립,부산,A그룹,14488,2992,62,234,296,14488,22716,0.6000000238418579
2015,146,동아방송예술대학교,전문대학,사립,경기,B그룹,823,252,7,33,40,823,3107,0.3000000119209289
2015,147,동아보건대학교,전문대학,사립,전남,C그룹,1308,332,5,30,35,1308,2013,0.6000000238418579
2015,148,동양대학교,대학,사립,경북,C그룹,2292,506,7,17,24,2292,4748,0.5
2015,149,동양미래대학교,전문대학,사립,서울,A그룹,5827,1000,30,133,163,5827,6348,0.8999999761581421
2015,150,동우대학,전문대학,사립,강원,B그룹,0,0,0,0,0,0,0,0.0
2015,151,동원과학기술대학교,전문대학,사립,경남,B그룹,3156,500,8,75,83,3156,2158,1.5
2015,152,동원대학교,전문대학,사립,경기,B그룹,1591,159,7,51,58,1591,3838,0.4000000059604645
2015,153,동의과학대학교,전문대학,사립,부산,B그룹,1995,541,9,35,44,1995,5790,0.3000000119209289
2015,154,동의대학교,대학,사립,부산,A그룹,13546,2713,35,98,133,13546,16781,0.800000011920929
2015,155,두원공과대학교,전문대학,사립,경기,B그룹,2219,476,7,70,77,2219,6133,0.4000000059604645
2015,156,디지털서울문화예술대학교,대학,사립,서울,C그룹,0,0,1,2,3,0,3705,0.0
2015,157,루터대학교,대학,사립,경기,C그룹,552,110,5,6,11,552,466,1.2000000476837158
2015,158,마산대학교,전문대학,사립,경남,A그룹,3153,966,8,77,85,3153,6170,0.5
2015,159,명신대학교,대학,사립,전남,C그룹,0,0,0,0,0,0,0,0.0
2015,160,명지대학교,대학,사립,서울,A그룹,34796,4192,36,421,457,34796,16826,2.0999999046325684
2015,161,명지전문대학,전문대학,사립,서울,A그룹,5766,821,12,29,41,5766,7027,0.800000011920929
2015,162,목원대학교,대학,사립,대전,B그룹,8395,1438,21,53,74,8395,9575,0.8999999761581421
2015,163,목포가톨릭대학교,대학,사립,전남,C그룹,1129,445,3,9,12,1129,547,2.0999999046325684
